key,tokenizer,technique,mcc,m_f1,w_f1,acc
444,SyllableTokenizer,BNB,0.0,0.2462006079027355,0.1608245906461417,0.3266129032258064
91,TweetTokenizer,BiLSTM,0.0780597327871135,0.3862626262626263,0.4601058976865429,0.6048387096774194
344,TreebankWordTokenizer,LR,-0.0577285813327984,0.4283236334588611,0.5123871262235278,0.592741935483871
275,TweetTokenizer,BNB,0.0,0.2727272727272727,0.2045454545454545,0.375
457,NLTKWordTokenizer,SGDC,0.1202254107327852,0.5314963194580158,0.5365238368415634,0.532258064516129
476,TweetTokenizer,KNN,0.1672549160323526,0.5566707667076671,0.5692705894800884,0.5604838709677419
222,TweetTokenizer,KNN,0.0772078539411402,0.5192154179495951,0.5161198356380062,0.5201612903225806
318,SyllableTokenizer,LSTM,0.0,0.3768844221105527,0.4559085751337332,0.6048387096774194
330,ToktokTokenizer,GB,0.0219505573230421,0.4731182795698925,0.5432275407561568,0.6048387096774194
331,SyllableTokenizer,GB,-0.089248547068762,0.4242810833420475,0.4878026196395381,0.5524193548387096
3,TweetTokenizer,BiLSTM,0.0,0.3524804177545692,0.3837488419102164,0.5443548387096774
460,ToktokTokenizer,BNB,0.0,0.2769679300291545,0.2121931721997555,0.3830645161290322
47,MWETokenizer,LSTM,0.1930500141461281,0.4785461771297858,0.5357751915739511,0.6330645161290323
360,MWETokenizer,LSTM,0.0,0.38,0.4658064516129032,0.6129032258064516
93,MWETokenizer,LSTM,0.0686106622402142,0.4860103626943006,0.5759652348320242,0.6451612903225806
44,SyllableTokenizer,BNB,0.0,0.2790697674418604,0.2160540135033758,0.3870967741935484
470,WhitespaceTokenizer,KNN,0.0143604186535264,0.4595368201925578,0.4623488034381741,0.4596774193548387
101,ToktokTokenizer,KNN,-0.0277300896391788,0.4762451151575621,0.4989311683121578,0.4879032258064516
404,WhitespaceTokenizer,SGDC,-0.0624108893534797,0.4370744010088272,0.5018752796648089,0.5645161290322581
161,SyllableTokenizer,GB,0.0305995960416607,0.4941724941724941,0.5628618693134823,0.6048387096774194
110,SyllableTokenizer,GB,0.0940400840863404,0.5080560278519959,0.5538078410785597,0.6048387096774194
33,NLTKWordTokenizer,GB,0.1204398605973545,0.5072675938513018,0.5560088783044866,0.6169354838709677
80,ToktokTokenizer,GB,-0.0062118868781988,0.4532929181592725,0.5390536804771597,0.6129032258064516
157,TreebankWordTokenizer,LSTM,0.1080700520979978,0.4220503087235422,0.4856488309425697,0.6088709677419355
90,TreebankWordTokenizer,BiLSTM,0.1302924696490739,0.4972863401556266,0.5524586412083959,0.625
471,MWETokenizer,SGDC,0.1586861397428927,0.5584088867107735,0.5662205921487724,0.5604838709677419
418,WhitespaceTokenizer,BiLSTM,0.0,0.3737373737373737,0.4460736396220267,0.5967741935483871
369,ToktokTokenizer,BiLSTM,0.0,0.4024096385542168,0.5419549164399533,0.6733870967741935
181,MWETokenizer,BiLSTM,0.0616000572506312,0.4569523240768388,0.5523459097082423,0.6451612903225806
380,MWETokenizer,SGDC,-0.0228156043488179,0.4853754940711462,0.4966211908708402,0.4919354838709677
207,TreebankWordTokenizer,BNB,0.0,0.2415902140672782,0.1539163460589918,0.3185483870967742
181,NLTKWordTokenizer,SGDC,-0.0049697718080401,0.4261356716599683,0.5141971234496603,0.6169354838709677
471,TreebankWordTokenizer,BNB,0.0,0.2832369942196532,0.2238485922058549,0.3951612903225806
314,SyllableTokenizer,BiLSTM,0.0,0.3846153846153846,0.4807692307692308,0.625
278,WhitespaceTokenizer,LR,-0.037282185960072,0.4346543971557042,0.4862767453862838,0.5604838709677419
45,WhitespaceTokenizer,CNN,0.0,0.3995157384987893,0.5316136842927439,0.6653225806451613
121,TweetTokenizer,LR,0.0337747045519757,0.4622846057286316,0.5390286505210691,0.6169354838709677
450,MWETokenizer,LSTM,0.0,0.3965936739659367,0.5213287811003846,0.657258064516129
205,ToktokTokenizer,CNN,0.0,0.38,0.4658064516129032,0.6129032258064516
160,WhitespaceTokenizer,SGDC,0.0606315136323639,0.5125448028673836,0.5312174817898023,0.5201612903225806
185,NLTKWordTokenizer,KNN,0.0687147869205594,0.5248186299395706,0.5335799409705365,0.5282258064516129
9,WhitespaceTokenizer,CNN,0.0426134233569875,0.4680394680394679,0.5250204121171862,0.5967741935483871
90,TweetTokenizer,BNB,0.0,0.2552552552552552,0.1749733604572314,0.3427419354838709
261,ToktokTokenizer,GB,0.0684372320386299,0.5180957007529754,0.5801515353334326,0.6129032258064516
186,NLTKWordTokenizer,SGDC,-0.0622745240326275,0.4376185371485115,0.4959926796245114,0.5564516129032258
216,TreebankWordTokenizer,BNB,0.0,0.2574850299401198,0.1785783272165347,0.3467741935483871
361,TreebankWordTokenizer,BNB,0.0,0.2552552552552552,0.1749733604572314,0.3427419354838709
260,WhitespaceTokenizer,LR,0.0522679229703311,0.43184421534937,0.5042678195322028,0.6129032258064516
477,TweetTokenizer,LSTM,0.0,0.3846153846153846,0.4807692307692308,0.625
184,TreebankWordTokenizer,CNN,0.0,0.4052757793764988,0.552351667053454,0.6814516129032258
111,ToktokTokenizer,GB,0.0422367014384432,0.4622846057286317,0.5367030734061469,0.6169354838709677
25,WhitespaceTokenizer,SGDC,-0.0577144272683649,0.4549217933124213,0.5407106369768294,0.5846774193548387
504,NLTKWordTokenizer,LSTM,-0.0572733688352768,0.3541666666666666,0.3912970430107526,0.5483870967741935
266,TreebankWordTokenizer,GB,-0.08699176724016801,0.4139077695283907,0.46742451585917494,0.5443548387096774
121,WhitespaceTokenizer,CNN,0.0,0.4024096385542168,0.5419549164399533,0.6733870967741935
18,NLTKWordTokenizer,CNN,0.1213976703636682,0.5476703697562593,0.5789268884954616,0.6008064516129032
229,SyllableTokenizer,KNN,0.0140074805332837,0.4593609683087135,0.4556690394372524,0.4596774193548387
12,MWETokenizer,BNB,0.0,0.2748538011695907,0.208356913789851,0.3790322580645161
342,TreebankWordTokenizer,CNN,0.0,0.3876543209876543,0.4908203902827559,0.6330645161290323
310,ToktokTokenizer,BiLSTM,0.0,0.3815461346633416,0.4707786984152521,0.6169354838709677
273,TweetTokenizer,GB,-0.0008663521265554,0.4525117739403453,0.5576226768623082,0.6370967741935484
234,MWETokenizer,LSTM,0.0,0.3995157384987893,0.5316136842927439,0.6653225806451613
282,MWETokenizer,CNN,0.0,0.3965936739659367,0.5213287811003846,0.657258064516129
174,TreebankWordTokenizer,BNB,0.0,0.2727272727272727,0.2045454545454545,0.375
280,NLTKWordTokenizer,LSTM,0.0,0.3876543209876543,0.4908203902827559,0.6330645161290323
485,TreebankWordTokenizer,LSTM,0.0,0.4024096385542168,0.5419549164399533,0.6733870967741935
165,ToktokTokenizer,CNN,0.0691832514555636,0.523308620070549,0.6044726440465703,0.6330645161290323
167,TreebankWordTokenizer,SGDC,0.1186184399212395,0.5573598376146147,0.5953596434385422,0.5887096774193549
134,ToktokTokenizer,BiLSTM,0.1229247128919921,0.529719479500425,0.6023597133835213,0.6491935483870968
178,TweetTokenizer,BNB,0.0,0.2662721893491124,0.1932620729146784,0.3629032258064516
463,WhitespaceTokenizer,LR,-0.0473488011227886,0.4479779614325069,0.5323286234781835,0.592741935483871
250,ToktokTokenizer,LR,0.0413923748594393,0.4814016855712565,0.5416057692897338,0.6008064516129032
145,TweetTokenizer,CNN,0.0,0.3906633906633907,0.5009312831893478,0.6411290322580645
203,WhitespaceTokenizer,BiLSTM,0.0,0.3891625615763546,0.4958684252343874,0.6370967741935484
433,TreebankWordTokenizer,LSTM,0.0,0.3891625615763546,0.4958684252343874,0.6370967741935484
157,MWETokenizer,LR,0.0926318476319575,0.4719082719082719,0.5471929407413278,0.6330645161290323
8,MWETokenizer,SGDC,-0.1656561630625424,0.4100148927528383,0.47459247700732393,0.5040322580645161
115,MWETokenizer,SGDC,0.0496188307796882,0.5123595505617977,0.5757249003262052,0.6048387096774194
41,MWETokenizer,LSTM,0.1935399120206365,0.5115151515151515,0.6055522971652003,0.6854838709677419
362,TreebankWordTokenizer,LR,0.009343259861121,0.4613475177304965,0.5353351635781286,0.6048387096774194
295,TreebankWordTokenizer,LR,0.04872823925735299,0.4486388384754989,0.5125387857853755,0.6048387096774194
328,TreebankWordTokenizer,BNB,0.0,0.2790697674418604,0.2160540135033758,0.3870967741935484
314,TweetTokenizer,GB,0.0144620363316951,0.4646781789638932,0.5724667038031093,0.6451612903225806
309,ToktokTokenizer,BNB,0.0,0.2727272727272727,0.2045454545454545,0.375
391,TweetTokenizer,SGDC,0.0862543135610126,0.5426641159540182,0.5716194023171012,0.5685483870967742
215,SyllableTokenizer,LSTM,0.0,0.3876543209876543,0.4908203902827559,0.6330645161290323
304,TweetTokenizer,BiLSTM,0.0,0.3980582524271844,0.5264641403069213,0.6612903225806451
287,MWETokenizer,CNN,0.0,0.3980582524271844,0.5264641403069213,0.6612903225806451
292,NLTKWordTokenizer,CNN,0.0,0.3876543209876543,0.4908203902827559,0.6330645161290323
378,ToktokTokenizer,LR,-0.0904259994430421,0.4201248398836996,0.4703585621310274,0.5362903225806451
106,TreebankWordTokenizer,SGDC,0.0522362596601966,0.5171796895553802,0.5687242745966682,0.5524193548387096
163,NLTKWordTokenizer,BNB,0.0,0.2684365781710914,0.1969978113997526,0.3669354838709677
500,MWETokenizer,LR,0.033663237763834,0.4786786786786786,0.5448609900222803,0.6048387096774194
356,TreebankWordTokenizer,KNN,-0.019799159511077,0.4692804051294617,0.4792555588051632,0.4717741935483871
188,WhitespaceTokenizer,LR,0.0542406769856614,0.4339667972034692,0.5092305122865538,0.6169354838709677
241,TweetTokenizer,KNN,0.0483469035007929,0.5057135264416689,0.5294377341345701,0.5161290322580645
357,TreebankWordTokenizer,GB,0.0773017590459748,0.5080560278519958,0.5590868964508554,0.6048387096774194
482,TreebankWordTokenizer,BiLSTM,0.0,0.3891625615763546,0.4958684252343874,0.6370967741935484
441,SyllableTokenizer,LSTM,0.0,0.3846153846153846,0.4807692307692308,0.625
471,TreebankWordTokenizer,CNN,0.0,0.3768844221105527,0.4559085751337332,0.6048387096774194
95,ToktokTokenizer,SGDC,0.008584007226707,0.4986412142904487,0.5152705704761844,0.5080645161290323
370,ToktokTokenizer,LSTM,0.0,0.3861386138613861,0.48578728840626,0.6290322580645161
77,ToktokTokenizer,SGDC,0.0541325690243942,0.5149691590191063,0.5401891224272896,0.5282258064516129
389,TreebankWordTokenizer,CNN,0.0,0.4052757793764988,0.552351667053454,0.6814516129032258
96,ToktokTokenizer,BNB,0.0,0.2597014925373134,0.1822099181511796,0.3508064516129032
272,TreebankWordTokenizer,CNN,0.0,0.3830845771144278,0.475766329642112,0.6209677419354839
478,NLTKWordTokenizer,SGDC,0.0843477399881672,0.5396587420575426,0.5717832328075593,0.5806451612903226
372,NLTKWordTokenizer,BiLSTM,0.0,0.3891625615763546,0.4958684252343874,0.6370967741935484
481,WhitespaceTokenizer,BNB,0.0,0.2662721893491124,0.1932620729146784,0.3629032258064516
165,MWETokenizer,LSTM,0.120183674934775,0.4199263461729869,0.4942841226878831,0.6209677419354839
237,SyllableTokenizer,CNN,0.0,0.3846153846153846,0.4807692307692308,0.625
118,NLTKWordTokenizer,GB,0.1290575226627419,0.5318747318747318,0.5987323729259212,0.6451612903225806
66,NLTKWordTokenizer,BiLSTM,0.0,0.3830845771144278,0.475766329642112,0.6209677419354839
263,TreebankWordTokenizer,SGDC,-0.0700115064018598,0.4480985114484941,0.4678759386201825,0.4556451612903225
367,ToktokTokenizer,LSTM,0.0,0.38,0.4658064516129032,0.6129032258064516
35,TreebankWordTokenizer,LR,0.0161230687055233,0.4731182795698924,0.5453520638224071,0.6048387096774194
329,NLTKWordTokenizer,CNN,0.0,0.38,0.4658064516129032,0.6129032258064516
490,MWETokenizer,LR,0.0685827655027404,0.4814016855712565,0.5335785581272703,0.6008064516129032
303,WhitespaceTokenizer,KNN,-0.0156885004523557,0.4593609683087134,0.4630528971801744,0.4596774193548387
65,TreebankWordTokenizer,KNN,0.0528124518044936,0.5150792072645324,0.5338440272227533,0.5241935483870968
369,MWETokenizer,LSTM,0.0,0.4081145584725537,0.5628031411194088,0.6895161290322581
115,TweetTokenizer,LR,-0.0150880409180625,0.4648532008108285,0.5453375252856567,0.6008064516129032
124,WhitespaceTokenizer,LR,0.0312072410527986,0.4238383838383838,0.5153437601824699,0.6290322580645161
149,ToktokTokenizer,SGDC,-0.0390843615203773,0.4798891468803835,0.5422983901169659,0.5483870967741935
262,SyllableTokenizer,CNN,0.0,0.39364303178484095,0.5111010332045114,0.6491935483870968
365,WhitespaceTokenizer,KNN,0.0008612401901862,0.4545721127999609,0.44832892158331106,0.4556451612903225
370,WhitespaceTokenizer,GB,-0.0074166286537601,0.4503614407920628,0.4996916444670727,0.5685483870967742
136,MWETokenizer,LSTM,0.2484482072774529,0.6118780096308186,0.665037798374152,0.6854838709677419
484,TweetTokenizer,SGDC,0.0338526433361621,0.5148652697249001,0.5605832863851901,0.5524193548387096
304,WhitespaceTokenizer,CNN,0.0,0.3846153846153846,0.4807692307692308,0.625
161,SyllableTokenizer,SGDC,-0.0860187332311324,0.4569826435246996,0.5033877427968475,0.5040322580645161
134,NLTKWordTokenizer,KNN,0.0287214791347876,0.5034138655462185,0.5150404920032531,0.5080645161290323
83,WhitespaceTokenizer,BiLSTM,0.0767625695454263,0.3829003682691351,0.4502852721242419,0.5967741935483871
4,MWETokenizer,LSTM,0.0,0.3965936739659367,0.5213287811003846,0.657258064516129
441,WhitespaceTokenizer,BiLSTM,0.0,0.3784461152882205,0.4608497049074298,0.6088709677419355
377,MWETokenizer,LR,0.0204433137909466,0.458909090909091,0.5259472140762464,0.6008064516129032
103,NLTKWordTokenizer,CNN,0.0253918358059512,0.4551161330822347,0.5242188607415507,0.6048387096774194
300,WhitespaceTokenizer,SGDC,0.0548627232527736,0.5219533090597559,0.5507119712033385,0.5645161290322581
130,SyllableTokenizer,LSTM,0.2289887988026911,0.5819303074920512,0.642794576917067,0.6814516129032258
472,MWETokenizer,KNN,0.042033241262021,0.4536464367891121,0.4437860625831403,0.4556451612903225
93,MWETokenizer,GB,0.088300548765094,0.513564738292011,0.5919113125388785,0.6411290322580645
411,ToktokTokenizer,BiLSTM,0.0,0.3830845771144278,0.475766329642112,0.6209677419354839
405,NLTKWordTokenizer,GB,-0.0256208438277665,0.4148820326678766,0.4776710965400152,0.5806451612903226
255,ToktokTokenizer,GB,0.0874329993975948,0.4823956442831216,0.5534921842983431,0.6290322580645161
1,TreebankWordTokenizer,CNN,0.0,0.38,0.4658064516129032,0.6129032258064516
410,WhitespaceTokenizer,BiLSTM,0.0,0.39364303178484095,0.5111010332045114,0.6491935483870968
414,NLTKWordTokenizer,SGDC,0.0701471069593717,0.4555173730431462,0.5348384633386296,0.6290322580645161
37,TreebankWordTokenizer,BiLSTM,0.0,0.3784461152882205,0.4608497049074298,0.6088709677419355
188,ToktokTokenizer,LSTM,0.0,0.3980582524271844,0.5264641403069213,0.6612903225806451
510,ToktokTokenizer,SGDC,0.0410823527084811,0.520393811533052,0.5585726600426477,0.5564516129032258
356,WhitespaceTokenizer,GB,0.1391465385295948,0.4962455779984024,0.5637852333675681,0.6411290322580645
488,ToktokTokenizer,BiLSTM,0.0,0.3995157384987893,0.5316136842927439,0.6653225806451613
248,MWETokenizer,LSTM,0.0,0.3876543209876543,0.4908203902827559,0.6330645161290323
439,MWETokenizer,LR,0.0334400880995986,0.4681549233909516,0.5882835622478211,0.6653225806451613
48,TweetTokenizer,GB,0.1086598468288099,0.4865424430641822,0.5772724236959862,0.657258064516129
60,NLTKWordTokenizer,SGDC,-0.1232171727271903,0.4348299319727891,0.4701898178626288,0.4596774193548387
460,MWETokenizer,SGDC,-0.0471113433134608,0.4763711269418933,0.5054881070709699,0.5040322580645161
128,TweetTokenizer,BNB,0.0,0.2954545454545454,0.2478005865102639,0.4193548387096774
206,SyllableTokenizer,BiLSTM,0.0,0.3906633906633907,0.5009312831893478,0.6411290322580645
275,TreebankWordTokenizer,CNN,0.0,0.3784461152882205,0.4608497049074298,0.6088709677419355
100,TreebankWordTokenizer,LSTM,0.2085822057886075,0.5587698421867419,0.6381861053077221,0.6895161290322581
240,NLTKWordTokenizer,LR,0.1789951859025293,0.5310574792102962,0.5682959559197285,0.625
110,MWETokenizer,BiLSTM,0.0,0.3980582524271844,0.5264641403069213,0.6612903225806451
238,SyllableTokenizer,BNB,0.0,0.2640949554896142,0.1895520245046425,0.3588709677419355
270,MWETokenizer,BiLSTM,0.0,0.3906633906633907,0.5009312831893478,0.6411290322580645
265,ToktokTokenizer,LSTM,0.0,0.359173126614987,0.4026214887055096,0.5604838709677419
301,NLTKWordTokenizer,LSTM,0.0,0.3921568627450979,0.5060088551549652,0.6451612903225806
176,WhitespaceTokenizer,KNN,-0.0449348487148239,0.4679593207015705,0.478132314959748,0.4717741935483871
252,MWETokenizer,KNN,0.10351824056502999,0.5298616949376062,0.5471524865292283,0.5362903225806451
312,TweetTokenizer,KNN,0.0820257564548541,0.5038305762943445,0.5066541210767486,0.5040322580645161
62,TweetTokenizer,LSTM,0.1526602843909382,0.4945652173913043,0.5359835203366059,0.6129032258064516
279,MWETokenizer,LR,0.0746681283444307,0.4972863401556267,0.5667625711109658,0.625
221,TreebankWordTokenizer,LSTM,0.0,0.38,0.4658064516129032,0.6129032258064516
464,TreebankWordTokenizer,SGDC,0.0975331279461849,0.5384012539184952,0.5444053999393265,0.5403225806451613
271,ToktokTokenizer,LR,0.0639152564470086,0.4591803484145883,0.5574184654071778,0.6491935483870968
184,NLTKWordTokenizer,KNN,0.0812925153387724,0.5376584638329605,0.5632171465685213,0.5564516129032258
10,ToktokTokenizer,LSTM,0.0857142857142857,0.5294642857142857,0.5644729262672811,0.5887096774193549
437,TweetTokenizer,LR,0.0609121113889766,0.4622846057286317,0.532051919176302,0.6169354838709677
385,TweetTokenizer,LSTM,0.0,0.3641025641025641,0.4169561621174524,0.5725806451612904
363,TreebankWordTokenizer,LSTM,0.0,0.3624678663239075,0.4121610415457335,0.5685483870967742
84,TreebankWordTokenizer,KNN,-0.11958952353628,0.4267564646212688,0.4543449282125971,0.439516129032258
496,WhitespaceTokenizer,CNN,0.0,0.4009661835748792,0.5367773102695963,0.6693548387096774
412,TreebankWordTokenizer,BiLSTM,0.0,0.39364303178484095,0.5111010332045114,0.6491935483870968
282,TweetTokenizer,BNB,0.0,0.2619047619047619,0.1858678955453149,0.3548387096774194
138,ToktokTokenizer,BNB,0.0,0.2484848484848484,0.1643206256109481,0.3306451612903225
103,TreebankWordTokenizer,LSTM,0.0,0.3965936739659367,0.5213287811003846,0.657258064516129
15,MWETokenizer,KNN,0.0799635033164887,0.5342368407695042,0.5616961477311616,0.5524193548387096
24,MWETokenizer,CNN,0.0,0.3815461346633416,0.4707786984152521,0.6169354838709677
188,TreebankWordTokenizer,CNN,0.1452724166733939,0.4937860114203033,0.5981827698611343,0.6814516129032258
414,MWETokenizer,CNN,0.0,0.3830845771144278,0.475766329642112,0.6209677419354839
433,ToktokTokenizer,LR,-0.0456677084777141,0.4370468319559228,0.5114433484404161,0.5846774193548387
302,ToktokTokenizer,SGDC,0.0186118817263342,0.4686872787136639,0.5501672082657698,0.6169354838709677
188,SyllableTokenizer,BNB,0.0,0.2619047619047619,0.1858678955453149,0.3548387096774194
125,NLTKWordTokenizer,KNN,0.0674728156586925,0.4997354497354497,0.5242020822665984,0.5080645161290323
347,NLTKWordTokenizer,KNN,-0.1163054279100095,0.4193170731707316,0.4204122738001573,0.4193548387096774
276,TreebankWordTokenizer,GB,-0.0597719230337493,0.4474417124214211,0.5007713494379801,0.5483870967741935
138,ToktokTokenizer,KNN,-0.1204136159684673,0.4302702702702703,0.4676198779424587,0.4516129032258064
77,SyllableTokenizer,KNN,0.0125081459767524,0.5009894404257088,0.5196017294420886,0.5120967741935484
166,WhitespaceTokenizer,SGDC,0.1134234574105711,0.5362457229251213,0.5873986400634534,0.6209677419354839
247,TweetTokenizer,LR,-0.0189204460493618,0.4705487668503344,0.533613929019534,0.5766129032258065
357,TreebankWordTokenizer,SGDC,-0.0594841610316716,0.4537551410248913,0.5057826901904121,0.5443548387096774
35,WhitespaceTokenizer,LSTM,0.126766060295244,0.4798728096881132,0.5396962316487383,0.625
18,ToktokTokenizer,KNN,0.0183322335446147,0.5004029008863821,0.5275662187101974,0.5161290322580645
126,NLTKWordTokenizer,SGDC,0.0275668444942711,0.4992233612923268,0.5497048772910842,0.5806451612903226
5,WhitespaceTokenizer,GB,0.0890874657197996,0.5044955044955045,0.5586993651509781,0.6129032258064516
183,ToktokTokenizer,GB,0.114771431667083,0.551131221719457,0.5967887899576705,0.6129032258064516
4,TreebankWordTokenizer,LR,0.0152770711237315,0.4758592387401252,0.5317128181706862,0.5846774193548387
19,MWETokenizer,CNN,0.1395849123872625,0.4261356716599683,0.4928488927127653,0.6169354838709677
99,SyllableTokenizer,KNN,-0.1269111148524012,0.4107319648868061,0.4366005863554199,0.4193548387096774
16,TweetTokenizer,GB,0.1122281862650983,0.4814016855712565,0.5235445441741907,0.6008064516129032
372,MWETokenizer,BNB,0.0,0.2462006079027355,0.1608245906461417,0.3266129032258064
156,TweetTokenizer,KNN,-0.0651919772321803,0.4417694265022509,0.4509183667026563,0.4435483870967742
316,WhitespaceTokenizer,BNB,0.0,0.2274143302180685,0.1338810169832177,0.2943548387096774
2,TreebankWordTokenizer,GB,-0.0293681340211096,0.4540421543625624,0.5317140317904953,0.592741935483871
504,MWETokenizer,GB,-0.0561131717749694,0.4290180174471411,0.4864652811704288,0.5604838709677419
296,NLTKWordTokenizer,LR,0.0232992688967948,0.4347330586481985,0.4856864913168767,0.5806451612903226
317,ToktokTokenizer,GB,0.0738489869049451,0.4646826490309543,0.5346610488389526,0.6209677419354839
391,MWETokenizer,LSTM,0.0,0.39364303178484095,0.5111010332045114,0.6491935483870968
389,NLTKWordTokenizer,KNN,0.1504504063037567,0.5479166666666666,0.5452116935483872,0.5483870967741935
224,WhitespaceTokenizer,CNN,0.0,0.3705583756345177,0.4363026035696741,0.5887096774193549
440,SyllableTokenizer,KNN,0.0785506569299375,0.4949741785184822,0.5023807421724938,0.4959677419354839
316,MWETokenizer,BiLSTM,0.0,0.38,0.4658064516129032,0.6129032258064516
511,ToktokTokenizer,GB,0.0008878364603213,0.439284032030146,0.522319298618814,0.6129032258064516
39,NLTKWordTokenizer,KNN,0.0459732445453108,0.5070878299577851,0.5207121582790613,0.5120967741935484
392,SyllableTokenizer,LSTM,0.0,0.3921568627450979,0.5060088551549652,0.6451612903225806
401,WhitespaceTokenizer,GB,0.0195353435280803,0.4443377504641188,0.4924378060138234,0.5766129032258065
440,NLTKWordTokenizer,GB,0.0609121113889766,0.4622846057286317,0.532051919176302,0.6169354838709677
78,WhitespaceTokenizer,BNB,0.0,0.2552552552552552,0.1749733604572314,0.3427419354838709
315,ToktokTokenizer,BNB,0.0,0.2597014925373134,0.1822099181511796,0.3508064516129032
243,MWETokenizer,LSTM,0.0,0.3906633906633907,0.5009312831893478,0.6411290322580645
488,SyllableTokenizer,KNN,0.109801023026125,0.5503626107977437,0.5715928881495151,0.5645161290322581
416,NLTKWordTokenizer,LR,0.0533298000496713,0.5180957007529754,0.5887704012473849,0.6129032258064516
148,TreebankWordTokenizer,LR,-0.1114346912666357,0.3997961956521739,0.4560067496493688,0.5403225806451613
252,WhitespaceTokenizer,LR,0.0123287932261106,0.4686872787136639,0.5524305396422171,0.6169354838709677
476,WhitespaceTokenizer,BNB,0.0,0.2748538011695907,0.208356913789851,0.3790322580645161
361,WhitespaceTokenizer,LR,0.0277648937866467,0.467897336248077,0.5097706598133623,0.5725806451612904
78,ToktokTokenizer,LSTM,0.0,0.4024096385542168,0.5419549164399533,0.6733870967741935
159,TweetTokenizer,SGDC,-0.002794914445054,0.4797771222549983,0.4749389412249817,0.4838709677419355
170,TreebankWordTokenizer,GB,0.037282185960072,0.4657743385966747,0.5145550896769472,0.5846774193548387
249,TreebankWordTokenizer,BiLSTM,0.0,0.3721518987341772,0.4411800734993875,0.592741935483871
213,ToktokTokenizer,BNB,0.0,0.2914285714285714,0.2397235023041474,0.4112903225806452
499,SyllableTokenizer,LR,-0.072484975285747,0.4425574425574425,0.5140504656633689,0.5645161290322581
219,TreebankWordTokenizer,GB,-0.0263122342467734,0.4813762626262626,0.5515334799608993,0.5725806451612904
452,ToktokTokenizer,CNN,0.0,0.3980582524271844,0.5264641403069213,0.6612903225806451
204,WhitespaceTokenizer,LR,-0.0512286132139273,0.4328759752488565,0.5119915471200326,0.5887096774193549
294,MWETokenizer,LR,-0.0552457859431116,0.4464285714285715,0.5516993087557605,0.6129032258064516
43,TreebankWordTokenizer,CNN,0.0,0.3861386138613861,0.48578728840626,0.6290322580645161
326,TweetTokenizer,CNN,0.0,0.4052757793764988,0.552351667053454,0.6814516129032258
228,NLTKWordTokenizer,BiLSTM,0.0,0.3815461346633416,0.4707786984152521,0.6169354838709677
